,n,Relations,FCY Result
144,20,"[[9, 11]]","(True, 21)"
145,20,"[[10, 12]]","(True, 21)"
146,20,"[[11, 13]]","(True, 21)"
147,20,"[[12, 14]]","(True, 21)"
148,20,"[[13, 15]]","(True, 21)"
149,20,"[[14, 16]]","(True, 21)"
150,20,"[[15, 17]]","(True, 21)"
151,20,"[[16, 18]]","(True, 21)"
152,20,"[[17, 19]]","(True, 21)"
153,21,"[[1, 3]]","(True, 22)"
154,21,"[[2, 4]]","(True, 22)"
155,21,"[[3, 5]]","(True, 22)"
156,21,"[[4, 6]]","(True, 22)"
157,21,"[[5, 7]]","(True, 22)"
158,21,"[[6, 8]]","(True, 22)"
159,21,"[[7, 9]]","(True, 22)"
160,21,"[[8, 10]]","(True, 22)"
161,21,"[[9, 11]]","(True, 22)"
162,21,"[[10, 12]]","(True, 22)"
163,21,"[[11, 13]]","(True, 22)"
164,21,"[[12, 14]]","(True, 22)"
165,21,"[[13, 15]]","(True, 22)"
166,21,"[[14, 16]]","(True, 22)"
167,21,"[[15, 17]]","(True, 22)"
168,21,"[[16, 18]]","(True, 22)"
169,21,"[[17, 19]]","(True, 22)"
170,21,"[[18, 20]]","(True, 22)"
171,22,"[[1, 3]]","(True, 23)"
172,22,"[[2, 4]]","(True, 23)"
173,22,"[[3, 5]]","(True, 23)"
174,22,"[[4, 6]]","(True, 23)"
175,22,"[[5, 7]]","(True, 23)"
176,22,"[[6, 8]]","(True, 23)"
177,22,"[[7, 9]]","(True, 23)"
178,22,"[[8, 10]]","(True, 23)"
179,22,"[[9, 11]]","(True, 23)"
180,22,"[[10, 12]]","(True, 23)"
181,22,"[[11, 13]]","(True, 23)"
182,22,"[[12, 14]]","(True, 23)"
183,22,"[[13, 15]]","(True, 23)"
184,22,"[[14, 16]]","(True, 23)"
185,22,"[[15, 17]]","(True, 23)"
186,22,"[[16, 18]]","(True, 23)"
187,22,"[[17, 19]]","(True, 23)"
188,22,"[[18, 20]]","(True, 23)"
189,22,"[[19, 21]]","(True, 23)"
190,23,"[[1, 3]]","(True, 24)"
191,23,"[[2, 4]]","(True, 24)"
192,23,"[[3, 5]]","(True, 24)"
193,23,"[[4, 6]]","(True, 24)"
194,23,"[[5, 7]]","(True, 24)"
195,23,"[[6, 8]]","(True, 24)"
196,23,"[[7, 9]]","(True, 24)"
197,23,"[[8, 10]]","(True, 24)"
198,23,"[[9, 11]]","(True, 24)"
199,23,"[[10, 12]]","(True, 24)"
200,23,"[[11, 13]]","(True, 24)"
201,23,"[[12, 14]]","(True, 24)"
202,23,"[[13, 15]]","(True, 24)"
203,23,"[[14, 16]]","(True, 24)"
204,23,"[[15, 17]]","(True, 24)"
205,23,"[[16, 18]]","(True, 24)"
206,23,"[[17, 19]]","(True, 24)"
207,23,"[[18, 20]]","(True, 24)"
208,23,"[[19, 21]]","(True, 24)"
209,23,"[[20, 22]]","(True, 24)"
