,n,Relations,FCY Result
113,119,"[[1, 4], [3, 6]]","(False, 100)"
114,120,"[[1, 4], [3, 6]]","(False, 100)"
115,121,"[[1, 4], [3, 6]]","(False, 100)"
116,122,"[[1, 4], [3, 6]]","(False, 100)"
117,123,"[[1, 4], [3, 6]]","(False, 100)"
118,124,"[[1, 4], [3, 6]]","(False, 100)"
119,125,"[[1, 4], [3, 6]]","(False, 100)"
120,126,"[[1, 4], [3, 6]]","(False, 100)"
121,127,"[[1, 4], [3, 6]]","(False, 100)"
122,128,"[[1, 4], [3, 6]]","(False, 100)"
123,129,"[[1, 4], [3, 6]]","(False, 100)"
124,130,"[[1, 4], [3, 6]]","(False, 100)"
125,131,"[[1, 4], [3, 6]]","(False, 100)"
126,132,"[[1, 4], [3, 6]]","(False, 100)"
127,133,"[[1, 4], [3, 6]]","(False, 100)"
128,134,"[[1, 4], [3, 6]]","(False, 100)"
129,135,"[[1, 4], [3, 6]]","(False, 100)"
130,136,"[[1, 4], [3, 6]]","(False, 100)"
131,137,"[[1, 4], [3, 6]]","(False, 100)"
132,138,"[[1, 4], [3, 6]]","(False, 100)"
133,139,"[[1, 4], [3, 6]]","(False, 100)"
134,140,"[[1, 4], [3, 6]]","(False, 100)"
135,141,"[[1, 4], [3, 6]]","(False, 100)"
136,142,"[[1, 4], [3, 6]]","(False, 100)"
137,143,"[[1, 4], [3, 6]]","(False, 100)"
138,144,"[[1, 4], [3, 6]]","(False, 100)"
139,145,"[[1, 4], [3, 6]]","(False, 100)"
140,146,"[[1, 4], [3, 6]]","(False, 100)"
141,147,"[[1, 4], [3, 6]]","(False, 100)"
142,148,"[[1, 4], [3, 6]]","(False, 100)"
143,149,"[[1, 4], [3, 6]]","(False, 100)"
144,150,"[[1, 4], [3, 6]]","(False, 100)"
145,151,"[[1, 4], [3, 6]]","(False, 100)"
146,152,"[[1, 4], [3, 6]]","(False, 100)"
147,153,"[[1, 4], [3, 6]]","(False, 100)"
148,154,"[[1, 4], [3, 6]]","(False, 100)"
149,155,"[[1, 4], [3, 6]]","(False, 100)"
150,156,"[[1, 4], [3, 6]]","(False, 100)"
151,157,"[[1, 4], [3, 6]]","(False, 100)"
152,158,"[[1, 4], [3, 6]]","(False, 100)"
153,159,"[[1, 4], [3, 6]]","(False, 100)"
154,160,"[[1, 4], [3, 6]]","(False, 100)"
155,161,"[[1, 4], [3, 6]]","(False, 100)"
156,162,"[[1, 4], [3, 6]]","(False, 100)"
157,163,"[[1, 4], [3, 6]]","(False, 100)"
158,164,"[[1, 4], [3, 6]]","(False, 100)"
159,165,"[[1, 4], [3, 6]]","(False, 100)"
160,166,"[[1, 4], [3, 6]]","(False, 100)"
161,167,"[[1, 4], [3, 6]]","(False, 100)"
162,168,"[[1, 4], [3, 6]]","(False, 100)"
163,169,"[[1, 4], [3, 6]]","(False, 100)"
164,170,"[[1, 4], [3, 6]]","(False, 100)"
165,171,"[[1, 4], [3, 6]]","(False, 100)"
166,172,"[[1, 4], [3, 6]]","(False, 100)"
167,173,"[[1, 4], [3, 6]]","(False, 100)"
168,174,"[[1, 4], [3, 6]]","(False, 100)"
169,175,"[[1, 4], [3, 6]]","(False, 100)"
170,176,"[[1, 4], [3, 6]]","(False, 100)"
171,177,"[[1, 4], [3, 6]]","(False, 100)"
172,178,"[[1, 4], [3, 6]]","(False, 100)"
173,179,"[[1, 4], [3, 6]]","(False, 100)"
174,180,"[[1, 4], [3, 6]]","(False, 100)"
175,181,"[[1, 4], [3, 6]]","(False, 100)"
176,182,"[[1, 4], [3, 6]]","(False, 100)"
177,183,"[[1, 4], [3, 6]]","(False, 100)"
178,184,"[[1, 4], [3, 6]]","(False, 100)"
179,185,"[[1, 4], [3, 6]]","(False, 100)"
180,186,"[[1, 4], [3, 6]]","(False, 100)"
181,187,"[[1, 4], [3, 6]]","(False, 100)"
182,188,"[[1, 4], [3, 6]]","(False, 100)"
