,n,Relations,FCY Result
113,119,"[[1, 4], [3, 6]]","(False, 500)"
114,120,"[[1, 4], [3, 6]]","(False, 500)"
115,121,"[[1, 4], [3, 6]]","(False, 500)"
116,122,"[[1, 4], [3, 6]]","(False, 500)"
117,123,"[[1, 4], [3, 6]]","(False, 500)"
118,124,"[[1, 4], [3, 6]]","(False, 500)"
119,125,"[[1, 4], [3, 6]]","(False, 500)"
120,126,"[[1, 4], [3, 6]]","(False, 500)"
121,127,"[[1, 4], [3, 6]]","(False, 500)"
122,128,"[[1, 4], [3, 6]]","(False, 500)"
123,129,"[[1, 4], [3, 6]]","(False, 500)"
124,130,"[[1, 4], [3, 6]]","(False, 500)"
125,131,"[[1, 4], [3, 6]]","(False, 500)"
126,132,"[[1, 4], [3, 6]]","(False, 500)"
127,133,"[[1, 4], [3, 6]]","(False, 500)"
128,134,"[[1, 4], [3, 6]]","(False, 500)"
129,135,"[[1, 4], [3, 6]]","(False, 500)"
130,136,"[[1, 4], [3, 6]]","(False, 500)"
131,137,"[[1, 4], [3, 6]]","(False, 500)"
132,138,"[[1, 4], [3, 6]]","(False, 500)"
133,139,"[[1, 4], [3, 6]]","(False, 500)"
134,140,"[[1, 4], [3, 6]]","(False, 500)"
135,141,"[[1, 4], [3, 6]]","(False, 500)"
136,142,"[[1, 4], [3, 6]]","(False, 500)"
137,143,"[[1, 4], [3, 6]]","(False, 500)"
138,144,"[[1, 4], [3, 6]]","(False, 500)"
139,145,"[[1, 4], [3, 6]]","(False, 500)"
140,146,"[[1, 4], [3, 6]]","(False, 500)"
141,147,"[[1, 4], [3, 6]]","(False, 500)"
142,148,"[[1, 4], [3, 6]]","(False, 500)"
143,149,"[[1, 4], [3, 6]]","(False, 500)"
144,150,"[[1, 4], [3, 6]]","(False, 500)"
145,151,"[[1, 4], [3, 6]]","(False, 500)"
146,152,"[[1, 4], [3, 6]]","(False, 500)"
147,153,"[[1, 4], [3, 6]]","(False, 500)"
148,154,"[[1, 4], [3, 6]]","(False, 500)"
149,155,"[[1, 4], [3, 6]]","(False, 500)"
150,156,"[[1, 4], [3, 6]]","(False, 500)"
151,157,"[[1, 4], [3, 6]]","(False, 500)"
152,158,"[[1, 4], [3, 6]]","(False, 500)"
153,159,"[[1, 4], [3, 6]]","(False, 500)"
154,160,"[[1, 4], [3, 6]]","(False, 500)"
155,161,"[[1, 4], [3, 6]]","(False, 500)"
156,162,"[[1, 4], [3, 6]]","(False, 500)"
157,163,"[[1, 4], [3, 6]]","(False, 500)"
158,164,"[[1, 4], [3, 6]]","(False, 500)"
159,165,"[[1, 4], [3, 6]]","(False, 500)"
160,166,"[[1, 4], [3, 6]]","(False, 500)"
161,167,"[[1, 4], [3, 6]]","(False, 500)"
162,168,"[[1, 4], [3, 6]]","(False, 500)"
163,169,"[[1, 4], [3, 6]]","(False, 500)"
164,170,"[[1, 4], [3, 6]]","(False, 500)"
165,171,"[[1, 4], [3, 6]]","(False, 500)"
166,172,"[[1, 4], [3, 6]]","(False, 500)"
167,173,"[[1, 4], [3, 6]]","(False, 500)"
168,174,"[[1, 4], [3, 6]]","(False, 500)"
169,175,"[[1, 4], [3, 6]]","(False, 500)"
170,176,"[[1, 4], [3, 6]]","(False, 500)"
171,177,"[[1, 4], [3, 6]]","(False, 500)"
172,178,"[[1, 4], [3, 6]]","(False, 500)"
173,179,"[[1, 4], [3, 6]]","(False, 500)"
174,180,"[[1, 4], [3, 6]]","(False, 500)"
175,181,"[[1, 4], [3, 6]]","(False, 500)"
176,182,"[[1, 4], [3, 6]]","(False, 500)"
177,183,"[[1, 4], [3, 6]]","(False, 500)"
178,184,"[[1, 4], [3, 6]]","(False, 500)"
179,185,"[[1, 4], [3, 6]]","(False, 500)"
180,186,"[[1, 4], [3, 6]]","(False, 500)"
181,187,"[[1, 4], [3, 6]]","(False, 500)"
182,188,"[[1, 4], [3, 6]]","(False, 500)"
183,189,"[[1, 4], [3, 6]]","(False, 500)"
184,190,"[[1, 4], [3, 6]]","(False, 500)"
185,191,"[[1, 4], [3, 6]]","(False, 500)"
186,192,"[[1, 4], [3, 6]]","(False, 500)"
187,193,"[[1, 4], [3, 6]]","(False, 500)"
188,194,"[[1, 4], [3, 6]]","(False, 500)"
189,195,"[[1, 4], [3, 6]]","(False, 500)"
190,196,"[[1, 4], [3, 6]]","(False, 500)"
191,197,"[[1, 4], [3, 6]]","(False, 500)"
192,198,"[[1, 4], [3, 6]]","(False, 500)"
193,199,"[[1, 4], [3, 6]]","(False, 500)"
